MSA,AGENT_REQ,MONTH,POSTED_SHIFTS,FILLED_SHIFTS
"Phoenix-Mesa-Chandler, AZ",RN,10/1/22,74,49
"Phoenix-Mesa-Chandler, AZ",RN,11/1/22,87,46
"Pittsburgh, PA",CNA,9/1/22,2351,1948
"Pittsburgh, PA",CNA,10/1/22,2345,1939
"Pittsburgh, PA",CNA,11/1/22,2191,1504
"Pittsburgh, PA",LVN,9/1/22,934,819
"Pittsburgh, PA",LVN,10/1/22,1025,895
"Pittsburgh, PA",LVN,11/1/22,937,872
"Pittsburgh, PA",RN,9/1/22,455,340
"Pittsburgh, PA",RN,10/1/22,553,381
"Pittsburgh, PA",RN,11/1/22,466,369
"Portland-Vancouver-Hillsboro, OR-WA",CNA,9/1/22,1482,1407
"Portland-Vancouver-Hillsboro, OR-WA",CNA,10/1/22,1795,1553
"Portland-Vancouver-Hillsboro, OR-WA",CNA,11/1/22,1746,1653
"Portland-Vancouver-Hillsboro, OR-WA",LVN,9/1/22,205,171
"Portland-Vancouver-Hillsboro, OR-WA",LVN,10/1/22,292,242
"Portland-Vancouver-Hillsboro, OR-WA",LVN,11/1/22,307,279
"Portland-Vancouver-Hillsboro, OR-WA",RN,9/1/22,113,68
"Portland-Vancouver-Hillsboro, OR-WA",RN,10/1/22,184,130
"Portland-Vancouver-Hillsboro, OR-WA",RN,11/1/22,149,128
"Rapid City, SD",CNA,10/1/22,525,58
"Rapid City, SD",CNA,11/1/22,115,26
"Rapid City, SD",LVN,10/1/22,317,22
"Rapid City, SD",LVN,11/1/22,25,4
"Rapid City, SD",RN,10/1/22,179,0
"Riverside-San Bernardino-Ontario, CA",CNA,9/1/22,951,514
"Riverside-San Bernardino-Ontario, CA",CNA,10/1/22,863,596
"Riverside-San Bernardino-Ontario, CA",CNA,11/1/22,1007,690
"Riverside-San Bernardino-Ontario, CA",LVN,9/1/22,392,362
"Riverside-San Bernardino-Ontario, CA",LVN,10/1/22,320,176
"Riverside-San Bernardino-Ontario, CA",LVN,11/1/22,288,271
"Riverside-San Bernardino-Ontario, CA",RN,9/1/22,46,45
"Riverside-San Bernardino-Ontario, CA",RN,10/1/22,40,33
"Riverside-San Bernardino-Ontario, CA",RN,11/1/22,45,43
"Sacramento-Roseville-Folsom, CA",CNA,9/1/22,1607,1419
"Sacramento-Roseville-Folsom, CA",CNA,10/1/22,1593,1417
